1 10 0.20 1
11 21 0.42 0
32 45 0.90 1
77 51 1.02 0
128 224 4.48 1
352 70 1.40 0
422 84 1.68 1
506 34 0.68 0
540 71 1.42 1
611 5 0.10 0
616 64 1.28 1
680 28 0.56 0
708 27 0.54 1
735 2 0.04 0
737 38 0.76 1
775 2 0.04 0
777 106 2.12 1
883 75 1.50 0
958 315 6.30 1
1273 32 0.64 0
1305 236 4.72 1
1541 61 1.22 0
1602 237 4.74 1
1839 18 0.36 0
1857 139 2.78 1
1996 60 1.20 0
2056 166 3.32 1
2222 21 0.42 0
2243 168 3.36 1
2411 20 0.40 0
2431 203 4.06 1
2634 24 0.48 0
2658 155 3.10 1
2813 60 1.20 0
2873 450 9.00 1
3323 53 1.06 0
3376 164 3.28 1
3540 6 0.12 0
3546 88 1.76 1
3634 13 0.26 0
3647 210 4.20 1
3857 25 0.50 0
3882 146 2.92 1
4028 63 1.26 0
4091 80 1.60 1
4171 54 1.08 0
4225 80 1.60 1
4305 27 0.54 0
4332 132 2.64 1
4464 59 1.18 0
4523 37 0.74 1
4560 4 0.08 0
4564 90 1.80 1
4654 17 0.34 0
4671 258 5.16 1
4929 56 1.12 0
4985 134 2.68 1
5119 6 0.12 0
5125 74 1.48 1
5199 2 0.04 0
5201 51 1.02 1
5252 24 0.48 0
5276 296 5.92 1
5572 97 1.94 0
5669 101 2.02 1
5770 8 0.16 0
5778 200 4.00 1
5978 46 0.92 0
6024 241 4.82 1
6265 43 0.86 0
6308 461 9.22 1
6769 11 0.22 0
6780 65 1.30 1
6845 20 0.40 0
6865 135 2.70 1
7000 44 0.88 0
7044 86 1.72 1
7130 28 0.56 0
7158 133 2.66 1
7291 133 2.66 0
7424 158 3.16 1
7582 36 0.72 0
7618 104 2.08 1
7722 30 0.60 0
7752 111 2.22 1
7863 13 0.26 0
7876 216 4.32 1
8092 39 0.78 0
8131 196 3.92 1
8327 2 0.04 0
8329 178 3.56 1
8507 51 1.02 0
8558 126 2.52 1
8684 17 0.34 0
8701 321 6.42 1
9022 59 1.18 0
9081 284 5.68 1
9365 34 0.68 0
9399 135 2.70 1
9534 33 0.66 0
9567 16 0.32 1
9583 1 0.02 0
9584 88 1.76 1
9672 43 0.86 0
9715 85 1.70 1
9800 20 0.40 0
9820 194 3.88 1
10014 13 0.26 0
10027 88 1.76 1
10115 31 0.62 0
10146 102 2.04 1
10248 48 0.96 0
10296 68 1.36 1
10364 12 0.24 0
10376 88 1.76 1
10464 63 1.26 0
10527 80 1.60 1
10607 27 0.54 0
10634 222 4.44 1
10856 25 0.50 0
10881 168 3.36 1
11049 6 0.12 0
11055 63 1.26 1
11118 31 0.62 0
11149 444 8.88 1
11593 21 0.42 0
11614 222 4.44 1
11836 53 1.06 0
11889 131 2.62 1
12020 21 0.42 0
12041 298 5.96 1
12339 43 0.86 0
12382 246 4.92 1
12628 9 0.18 0
12637 83 1.66 1
12720 96 1.92 0
12816 65 1.30 1
12881 30 0.60 0
12911 53 1.06 1
12964 87 1.74 0
13051 61 1.22 1
13112 7 0.14 0
13119 89 1.78 1
13208 29 0.58 0
13237 91 1.82 1
13328 25 0.50 0
13353 34 0.68 1
13387 34 0.68 0
13421 59 1.18 1
13480 12 0.24 0
13492 82 1.64 1
13574 49 0.98 0
13623 131 2.62 1
13754 22 0.44 0
13776 46 0.92 1
13822 40 0.80 0
13862 84 1.68 1
13946 48 0.96 0
13994 112 2.24 1
14106 35 0.70 0
14141 108 2.16 1
14249 35 0.70 0
14284 63 1.26 1
14347 104 2.08 0
14451 205 4.10 1
14656 16 0.32 0
14672 340 6.80 1
15012 21 0.42 0
15033 176 3.52 1
15209 12 0.24 0
15221 81 1.62 1
15302 48 0.96 0
15350 149 2.98 1
15499 20 0.40 0
15519 464 9.28 1
15983 48 0.96 0
16031 120 2.40 1
16151 30 0.60 0
16181 216 4.32 1
16397 50 1.00 0
16447 74 1.48 1
16521 22 0.44 0
16543 113 2.26 1
16656 1 0.02 0
16657 87 1.74 1
16744 15 0.30 0
16759 137 2.74 1
16896 25 0.50 0
16921 134 2.68 1
17055 13 0.26 0
17068 244 4.88 1
17312 61 1.22 0
17373 133 2.66 1
17506 68 1.36 0
17574 87 1.74 1
17661 12 0.24 0
17673 96 1.92 1
17769 14 0.28 0
17783 104 2.08 1
17887 69 1.38 0
17956 119 2.38 1
18075 39 0.78 0
18114 116 2.32 1
18230 16 0.32 0
18246 97 1.94 1
18343 4 0.08 0
18347 85 1.70 1
18432 40 0.80 0
18472 334 6.68 1
18806 32 0.64 0
18838 73 1.46 1
18911 9 0.18 0
18920 73 1.46 1
18993 58 1.16 0
19051 290 5.80 1
19341 19 0.38 0
19360 228 4.56 1
19588 39 0.78 0
19627 126 2.52 1
19753 21 0.42 0
19774 152 3.04 1
19926 10 0.20 0
19936 52 1.04 1
19988 25 0.50 0
20013 58 1.16 1
20071 28 0.56 0
20099 136 2.72 1
20235 5 0.10 0
20240 74 1.48 1
20314 39 0.78 0
20353 158 3.16 1
20511 105 2.10 0
20616 60 1.20 1
20676 25 0.50 0
20701 41 0.82 1
20742 103 2.06 0
20845 70 1.40 1
20915 30 0.60 0
20945 44 0.88 1
20989 18 0.36 0
21007 51 1.02 1
21058 91 1.82 0
21149 112 2.24 1
21261 26 0.52 0
21287 93 1.86 1
21380 50 1.00 0
21430 270 5.40 1
21700 16 0.32 0
21716 241 4.82 1
21957 10 0.20 0
21967 147 2.94 1
22114 46 0.92 0
22160 163 3.26 1
22323 12 0.24 0
22335 133 2.66 1
22468 16 0.32 0
22484 59 1.18 1
22543 48 0.96 0
22591 194 3.88 1
22785 48 0.96 0
22833 49 0.98 1
22882 18 0.36 0
-1 0 0.00 0

number of data = 22899, recording time = 457.98 [sec]
number of talk spurt = 131
average duration of talk spurt = 2.8169 [sec]
longest duration of talk spurt = 9.28 [sec] at 310.38 [sec]

number of silence    = 131
average duration of silence    = 0.6791 [sec]
longest duration of silence    = 2.66 [sec] at 145.82 [sec]
